trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S1_V3_practical_claude-sonnet_rep0,S1,V3,3,practical,claude-sonnet,0,0.2445,0.000675,-0.247,0.293769,0.8571,18,20,33
S1_V3_practical_claude-sonnet_rep1,S1,V3,3,practical,claude-sonnet,1,0.257,0.000344,0.1782,0.452272,0.4643,17,20,35
S1_V3_practical_claude-sonnet_rep2,S1,V3,3,practical,claude-sonnet,2,0.1517,0.036715,-0.4428,0.050577,0.7857,20,20,30
S1_V3_practical_claude-sonnet_rep3,S1,V3,3,practical,claude-sonnet,3,0.1828,0.011606,-0.135,0.570482,0.7143,16,20,30
S1_V3_practical_claude-sonnet_rep4,S1,V3,3,practical,claude-sonnet,4,0.0815,0.263391,-0.4576,0.04247,0.5357,18,20,33
S1_V3_practical_gpt-4o_rep0,S1,V3,3,practical,gpt-4o,0,0.2035,0.00486,-0.1657,0.48505,0.9286,20,20,38
S1_V3_practical_gpt-4o_rep1,S1,V3,3,practical,gpt-4o,1,0.3623,0.0,0.1974,0.404178,0.6429,16,20,27
S1_V3_practical_gpt-4o_rep2,S1,V3,3,practical,gpt-4o,2,-0.03,0.681428,0.1389,0.559089,0.4643,12,20,31
S1_V3_practical_gpt-4o_rep3,S1,V3,3,practical,gpt-4o,3,0.312,1.2e-05,0.2622,0.264071,0.9286,19,20,30
S1_V3_practical_gpt-4o_rep4,S1,V3,3,practical,gpt-4o,4,0.2577,0.000332,0.2908,0.213525,0.6071,17,20,24
S1_V3_historical_claude-sonnet_rep0,S1,V3,3,historical,claude-sonnet,0,0.271,0.000155,-0.4198,0.065376,0.8571,20,20,52
S1_V3_historical_claude-sonnet_rep1,S1,V3,3,historical,claude-sonnet,1,0.2376,0.000963,-0.4518,0.045523,0.6786,16,20,31
S1_V3_historical_claude-sonnet_rep2,S1,V3,3,historical,claude-sonnet,2,0.1482,0.041354,-0.5734,0.00821,0.8571,20,20,56
S1_V3_historical_claude-sonnet_rep3,S1,V3,3,historical,claude-sonnet,3,0.0933,0.200224,-0.6993,0.000601,0.7857,20,20,48
S1_V3_historical_claude-sonnet_rep4,S1,V3,3,historical,claude-sonnet,4,0.0568,0.436219,-0.3741,0.104199,0.7143,20,20,52
S1_V3_historical_gpt-4o_rep0,S1,V3,3,historical,gpt-4o,0,0.1472,0.042693,-0.5136,0.020539,0.9286,20,20,42
S1_V3_historical_gpt-4o_rep1,S1,V3,3,historical,gpt-4o,1,0.2402,0.000843,-0.4478,0.047694,0.8571,18,20,29
S1_V3_historical_gpt-4o_rep2,S1,V3,3,historical,gpt-4o,2,0.2295,0.001445,-0.533,0.015535,0.8929,20,20,39
S1_V3_historical_gpt-4o_rep3,S1,V3,3,historical,gpt-4o,3,0.273,0.000138,-0.5035,0.02363,0.9286,20,20,37
S1_V3_historical_gpt-4o_rep4,S1,V3,3,historical,gpt-4o,4,0.1486,0.040747,-0.4868,0.029499,0.7857,19,20,25
S1_V3_formal_claude-sonnet_rep0,S1,V3,3,formal,claude-sonnet,0,0.1356,0.062217,-0.2022,0.392671,0.8929,19,20,26
S1_V3_formal_claude-sonnet_rep1,S1,V3,3,formal,claude-sonnet,1,0.1776,0.014222,-0.6163,0.003807,0.7143,18,20,30
S1_V3_formal_claude-sonnet_rep2,S1,V3,3,formal,claude-sonnet,2,0.1777,0.014157,-0.144,0.544703,0.8214,19,20,15
S1_V3_formal_claude-sonnet_rep3,S1,V3,3,formal,claude-sonnet,3,0.1635,0.024188,-0.301,0.197245,0.7143,18,20,28
S1_V3_formal_claude-sonnet_rep4,S1,V3,3,formal,claude-sonnet,4,0.0061,0.933771,-0.0924,0.698337,0.5357,18,20,25
S1_V3_formal_gpt-4o_rep0,S1,V3,3,formal,gpt-4o,0,0.1593,0.02813,-0.5025,0.023936,0.9286,20,20,31
S1_V3_formal_gpt-4o_rep1,S1,V3,3,formal,gpt-4o,1,0.1197,0.100091,-0.4879,0.029092,0.8571,20,20,30
S1_V3_formal_gpt-4o_rep2,S1,V3,3,formal,gpt-4o,2,0.4043,0.0,0.3467,0.134271,0.9643,19,20,31
S1_V3_formal_gpt-4o_rep3,S1,V3,3,formal,gpt-4o,3,0.4067,0.0,0.112,0.638213,0.9643,20,20,30
S1_V3_formal_gpt-4o_rep4,S1,V3,3,formal,gpt-4o,4,0.3193,7e-06,0.2236,0.343399,0.9643,19,20,27
S2_V0_none_claude-sonnet_rep0,S2,V0,0,none,claude-sonnet,0,0.1439,0.047663,-0.2636,0.261537,1.0,20,20,41
S2_V0_none_claude-sonnet_rep1,S2,V0,0,none,claude-sonnet,1,-0.1486,0.040765,-0.2334,0.322088,1.0,20,20,41
S2_V0_none_claude-sonnet_rep2,S2,V0,0,none,claude-sonnet,2,-0.0723,0.321783,-0.3081,0.186267,1.0,20,20,41
S2_V0_none_claude-sonnet_rep3,S2,V0,0,none,claude-sonnet,3,0.0271,0.710082,-0.2489,0.290028,1.0,20,20,41
S2_V0_none_claude-sonnet_rep4,S2,V0,0,none,claude-sonnet,4,0.2784,0.0001,-0.1759,0.458279,1.0,20,20,41
S2_V0_none_gpt-4o_rep0,S2,V0,0,none,gpt-4o,0,0.0724,0.321031,-0.4363,0.054445,1.0,20,20,41
S2_V0_none_gpt-4o_rep1,S2,V0,0,none,gpt-4o,1,0.0023,0.974512,-0.2541,0.279724,1.0,20,20,41
S2_V0_none_gpt-4o_rep2,S2,V0,0,none,gpt-4o,2,0.0829,0.255563,-0.2183,0.355054,1.0,20,20,41
S2_V0_none_gpt-4o_rep3,S2,V0,0,none,gpt-4o,3,0.0071,0.922904,-0.2301,0.329022,1.0,20,20,41
S2_V0_none_gpt-4o_rep4,S2,V0,0,none,gpt-4o,4,-0.0075,0.918003,0.0469,0.84446,1.0,20,20,41
S2_V1_none_claude-sonnet_rep0,S2,V1,1,none,claude-sonnet,0,0.4324,0.0,-0.5201,0.018727,1.0,20,20,16
S2_V1_none_claude-sonnet_rep1,S2,V1,1,none,claude-sonnet,1,0.4949,0.0,-0.5391,0.014179,1.0,20,20,20
S2_V1_none_claude-sonnet_rep2,S2,V1,1,none,claude-sonnet,2,0.47,0.0,-0.4805,0.031991,0.9615,20,20,21
S2_V1_none_claude-sonnet_rep3,S2,V1,1,none,claude-sonnet,3,0.4503,0.0,-0.4949,0.026523,0.9231,20,20,19
S2_V1_none_claude-sonnet_rep4,S2,V1,1,none,claude-sonnet,4,0.5117,0.0,-0.4558,0.043436,1.0,20,20,20
S2_V1_none_gpt-4o_rep0,S2,V1,1,none,gpt-4o,0,0.4184,0.0,-0.4027,0.078318,1.0,20,20,14
S2_V1_none_gpt-4o_rep1,S2,V1,1,none,gpt-4o,1,0.3577,0.0,-0.4435,0.050142,0.9615,20,20,17
S2_V1_none_gpt-4o_rep2,S2,V1,1,none,gpt-4o,2,0.3831,0.0,-0.4734,0.034985,0.9231,20,20,16
S2_V1_none_gpt-4o_rep3,S2,V1,1,none,gpt-4o,3,0.3848,0.0,-0.4471,0.048079,0.9615,20,20,18
S2_V1_none_gpt-4o_rep4,S2,V1,1,none,gpt-4o,4,0.3522,1e-06,-0.4698,0.036598,1.0,20,20,17
S2_V2_causal_claude-sonnet_rep0,S2,V2,2,causal,claude-sonnet,0,0.5103,0.0,-0.4309,0.057839,1.0,20,20,16
S2_V2_causal_claude-sonnet_rep1,S2,V2,2,causal,claude-sonnet,1,0.4578,0.0,-0.4152,0.068665,1.0,20,20,18
S2_V2_causal_claude-sonnet_rep2,S2,V2,2,causal,claude-sonnet,2,0.2001,0.005628,-0.3196,0.169549,1.0,20,20,9
S2_V2_causal_claude-sonnet_rep3,S2,V2,2,causal,claude-sonnet,3,0.3493,1e-06,-0.5153,0.020047,1.0,20,20,10
