trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S4_V3_historical_claude-sonnet_rep3,S4,V3,3,historical,claude-sonnet,3,0.2294,0.001457,0.0004,0.998727,0.7407,18,20,52
S4_V3_historical_claude-sonnet_rep4,S4,V3,3,historical,claude-sonnet,4,-0.0756,0.29985,0.1978,0.403198,0.3704,12,20,40
S4_V3_historical_gpt-4o_rep0,S4,V3,3,historical,gpt-4o,0,0.2054,0.004461,-0.3177,0.172294,0.7778,19,20,65
S4_V3_historical_gpt-4o_rep1,S4,V3,3,historical,gpt-4o,1,0.1966,0.006564,-0.3383,0.144619,0.7778,19,20,65
S4_V3_historical_gpt-4o_rep2,S4,V3,3,historical,gpt-4o,2,0.1854,0.010429,-0.2477,0.292339,0.8148,19,20,26
S4_V3_historical_gpt-4o_rep3,S4,V3,3,historical,gpt-4o,3,0.2008,0.005468,-0.3428,0.138952,0.8148,19,20,69
S4_V3_historical_gpt-4o_rep4,S4,V3,3,historical,gpt-4o,4,0.2321,0.001274,-0.3161,0.174618,0.8519,19,20,26
S4_V3_formal_claude-sonnet_rep0,S4,V3,3,formal,claude-sonnet,0,-0.0446,0.540974,-0.0255,0.915155,0.7778,18,20,35
S4_V3_formal_claude-sonnet_rep1,S4,V3,3,formal,claude-sonnet,1,0.0837,0.250724,0.045,0.85063,0.8519,19,20,42
S4_V3_formal_claude-sonnet_rep2,S4,V3,3,formal,claude-sonnet,2,-0.0183,0.801829,0.0551,0.817573,0.6296,15,20,27
S4_V3_formal_claude-sonnet_rep3,S4,V3,3,formal,claude-sonnet,3,-0.0001,0.998967,-0.1523,0.521645,0.7407,18,20,46
S4_V3_formal_claude-sonnet_rep4,S4,V3,3,formal,claude-sonnet,4,0.1849,0.01066,-0.1561,0.511062,0.8519,20,20,39
S4_V3_formal_gpt-4o_rep0,S4,V3,3,formal,gpt-4o,0,0.1332,0.067011,-0.2607,0.266884,0.7778,18,20,58
S4_V3_formal_gpt-4o_rep1,S4,V3,3,formal,gpt-4o,1,0.2657,0.000212,-0.2319,0.325308,0.963,20,20,52
S4_V3_formal_gpt-4o_rep2,S4,V3,3,formal,gpt-4o,2,0.1908,0.008373,-0.3601,0.118825,1.0,20,20,51
S4_V3_formal_gpt-4o_rep3,S4,V3,3,formal,gpt-4o,3,0.1907,0.008418,-0.3442,0.137256,0.8519,19,20,57
S4_V3_formal_gpt-4o_rep4,S4,V3,3,formal,gpt-4o,4,0.1411,0.052177,-0.2576,0.272881,0.8148,18,20,57
