trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S1_V2_historical_claude-sonnet_rep2,S1,V2,2,historical,claude-sonnet,2,0.2918,4.4e-05,-0.2478,0.292112,1.0,20,20,14,0.5377,0.0,0.395,0.7263,0.5673
S1_V2_historical_claude-sonnet_rep3,S1,V2,2,historical,claude-sonnet,3,0.1989,0.005941,-0.5368,0.014682,0.9286,20,20,32,0.1822,0.011847,0.3805,1.0,0.555
S1_V2_historical_claude-sonnet_rep4,S1,V2,2,historical,claude-sonnet,4,0.1528,0.035335,-0.6802,0.000966,0.7857,20,20,35,0.0389,0.594032,0.3568,0.9053,0.5813
S1_V2_historical_gpt-4o_rep0,S1,V2,2,historical,gpt-4o,0,0.2038,0.004808,-0.5937,0.005784,0.9286,20,20,40,0.0226,0.757453,0.5114,0.8737,0.3192
S1_V2_historical_gpt-4o_rep1,S1,V2,2,historical,gpt-4o,1,0.2522,0.000447,-0.5293,0.016407,0.9286,20,20,42,0.0598,0.41249,0.4889,0.8316,0.3403
S1_V2_historical_gpt-4o_rep2,S1,V2,2,historical,gpt-4o,2,0.1811,0.012386,-0.557,0.010738,0.8571,20,20,42,0.0224,0.758749,0.5067,0.7789,0.4598
S1_V2_historical_gpt-4o_rep3,S1,V2,2,historical,gpt-4o,3,0.1873,0.009664,-0.5357,0.014907,0.9643,20,20,42,0.0924,0.204624,0.4997,0.9158,0.2671
S1_V2_historical_gpt-4o_rep4,S1,V2,2,historical,gpt-4o,4,0.2682,0.000183,-0.4576,0.042504,0.9286,20,20,40,0.2761,0.000115,0.4996,0.9474,0.3358
S1_V2_formal_claude-sonnet_rep0,S1,V2,2,formal,claude-sonnet,0,0.0828,0.25583,-0.5708,0.008578,0.9643,20,20,13,1.0,0.0,0.3832,0.7263,0.5
S1_V2_formal_claude-sonnet_rep1,S1,V2,2,formal,claude-sonnet,1,0.1358,0.061769,-0.4825,0.031201,0.7857,20,20,24,0.1773,0.02836,0.3476,0.9684,0.5093
